,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths,index
28064,10/22/2020,NE,61293,,,979,0.0,587,,,11,0.0,10/24/2020 12:00:00 AM,Not agree,Not agree,
28065,04/22/2021,NV,312278,,,528,0.0,5400,,,12,0.0,04/23/2021 01:57:50 PM,,,
28066,11/25/2020,IL,685467,685467.0,0.0,11378,0.0,12440,11832.0,608.0,178,23.0,11/26/2020 02:44:21 PM,Agree,Agree,
28067,11/26/2020,GU,6768,,,63,2.0,112,,,3,0.0,11/27/2020 03:07:59 PM,Not agree,Not agree,
28068,07/04/2020,ND,3779,3779.0,0.0,57,0.0,80,,,-9,-9.0,07/05/2020 03:00:14 PM,Agree,Not agree,
28069,02/05/2021,MD,362084,,,1500,0.0,7769,7570.0,199.0,35,0.0,02/07/2021 12:00:00 AM,,Agree,
28070,03/06/2020,MO,2,,,1,0.0,0,,,0,0.0,03/08/2020 12:00:00 AM,Not agree,Not agree,
28071,01/23/2021,ID,159325,129955.0,29370.0,527,84.0,1668,1464.0,204.0,1,-1.0,01/24/2021 02:36:49 PM,Agree,Agree,
28072,03/17/2021,MT,102484,95610.0,6874.0,140,240.0,1396,1396.0,0.0,0,0.0,03/18/2021 02:01:55 PM,Agree,Agree,
28073,04/09/2021,MS,308162,189155.0,119007.0,223,107.0,7209,4983.0,2226.0,1,1.0,04/11/2021 12:00:00 AM,Agree,Agree,
28074,05/31/2021,AL,547911,421971.0,125940.0,136,49.0,11299,9014.0,2285.0,4,0.0,06/02/2021 12:00:00 AM,Agree,Agree,
28075,04/08/2021,NH,87441,,,506,0.0,1251,,,1,0.0,04/09/2021 02:11:49 PM,Not agree,Not agree,
28076,06/08/2020,CA,157583,157381.0,202.0,2701,4.0,5285,,,65,0.0,06/09/2020 12:00:00 AM,Agree,Not agree,
28077,07/15/2020,NE,21979,,,262,0.0,291,,,5,0.0,07/17/2020 12:00:00 AM,Not agree,Not agree,
28078,08/24/2020,MI,196836,178737.0,18099.0,1526,127.0,6774,6456.0,318.0,9,0.0,08/25/2020 12:00:00 AM,Agree,Agree,
28079,11/19/2020,AL,240701,200482.0,40219.0,2513,644.0,5019,4271.0,748.0,24,5.0,11/21/2020 12:00:00 AM,Agree,Agree,
28080,01/22/2020,ID,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree,
28081,03/24/2020,GU,30,,,0,,1,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree,
28082,06/09/2021,IL,1386262,1386262.0,0.0,408,0.0,25413,22997.0,2416.0,27,4.0,06/10/2021 02:48:23 PM,Agree,Agree,
28083,07/29/2020,ME,3888,3477.0,411.0,22,2.0,121,120.0,1.0,0,0.0,07/30/2020 02:42:43 PM,Agree,Agree,
28084,03/15/2021,MO,559832,,,758,304.0,8687,,,11,0.0,03/17/2021 12:00:00 AM,Not agree,Not agree,
28085,04/18/2021,IL,1302241,1302241.0,0.0,2666,0.0,23955,21663.0,2292.0,10,0.0,04/19/2021 03:04:26 PM,Agree,Agree,
28086,10/16/2020,IN,143495,,,2283,0.0,4207,3974.0,233.0,35,0.0,10/16/2020 12:00:00 AM,Not agree,Agree,
28087,12/14/2020,IL,856118,856118.0,0.0,7214,0.0,15455,14394.0,1061.0,116,13.0,12/15/2020 02:39:02 PM,Agree,Agree,
28088,01/31/2020,CT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree,
28089,04/19/2021,MD,437584,,,925,0.0,9134,8925.0,209.0,20,0.0,04/21/2021 12:00:00 AM,,Agree,
28090,04/01/2021,ID,180897,145335.0,35562.0,361,98.0,1963,1711.0,252.0,1,0.0,04/02/2021 01:56:15 PM,Agree,Agree,
28091,09/09/2020,GU,1846,,,133,0.0,21,,,2,0.0,09/10/2020 02:02:53 PM,Not agree,Not agree,
